Date,Description,Deposits/Additions,Withdrawals/Subtractions
11/24/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,216.15
11/26/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
11/28/2025,Atlas Manufacturing Payroll,819.27,
11/28/2025,M1 Payments,,50.00
12/1/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,1100.00
12/1/2025,M1 Payments,,25.00
12/1/2025,Paypal Inst Xfer Google Google O,,19.99
12/5/2025,Atlas Manufacturing Payroll,497.30,
12/5/2025,M1 Payments,,25.00
12/5/2025,M1 Payments,,50.00
12/8/2025,Wells Fargo Rewards,89.26,
12/8/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,246.00
12/8/2025,Online Transfer to Way2Save Savings,,101.00
12/9/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
12/11/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
12/12/2025,Atlas Manufacturing Payroll,497.29,
12/12/2025,M1 Payments,,25.00
12/12/2025,M1 Payments,,50.00
12/16/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
12/19/2025,Atlas Manufacturing Payroll,497.29,
12/19/2025,M1 Payments,,25.00
12/19/2025,M1 Payments,,50.00
12/22/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
12/26/2025,Atlas Manufacturing Payroll,497.29,
12/26/2025,M1 Payments,,50.00
12/29/2025,M1 Payments,,25.00
1/2/2026,Atlas Manufacturing Payroll,481.83,
1/2/2026,M1 Payments,,25.00
1/2/2026,M1 Payments,,50.00
1/6/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,262.00
1/6/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,16.00
1/9/2026,Atlas Manufacturing Payroll,481.83,
1/9/2026,M1 Payments,,25.00
1/9/2026,M1 Payments,,50.00
1/13/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,491.00
1/16/2026,Atlas Manufacturing Payroll,481.82,
1/16/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,82.00
1/16/2026,M1 Payments,,25.00
1/16/2026,M1 Payments,,50.00
1/20/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,725.00
1/23/2026,Atlas Manufacturing Payroll,481.83,
1/27/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,180.00
1/30/2026,Atlas Manufacturing Payroll,481.83,
2/2/2026,Public.Com (Tapx ACH,,50.00
2/3/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
2/5/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
2/6/2026,Atlas Manufacturing Payroll,481.83,
2/6/2026,M1 Payments,,25.00
2/6/2026,M1 Payments,,50.00
2/9/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,540.00
2/13/2026,Atlas Manufacturing Payroll,481.83,
2/13/2026,M1 Payments,,25.00
2/13/2026,M1 Payments,,50.00
2/17/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,250.00
2/18/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,150.00
2/19/2026,Paypal Transfer,15.61,
2/20/2026,Atlas Manufacturing Payroll,481.82,
2/20/2026,M1 Payments,,25.00
2/20/2026,M1 Payments,,50.00
2/23/2026,Kraken Ftebhdy,4677.80,
2/23/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,700.00
2/24/2026,Wells Fargo Rewards,92.21,
2/24/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,160.00
2/24/2026,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,190.00
2/27/2026,MN Dept of Revenue State Tax Refund,19.00,
2/27/2026,Atlas Manufacturing Payroll,481.84,
2/27/2026,M1 Payments,,25.00
2/27/2026,M1 Payments,,50.00
